LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,TOOLTIP,SOURCE,SOURCE URL,2011,2012,2013,2014,2015,2016,LEVEL
UNDEFINED,GENERAL FUND,TRAVEL,,,,,,0,-19,0,0,0,0,3
UNDEFINED,GENERAL FUND,CONTRA HOUSING LOANS EXP,,,,,,,,0,,,0,3
UNDEFINED,GENERAL FUND,TRANSFER TO 911 FUND,,,,,,0,322143,0,0,0,0,3
UNDEFINED,GENERAL FUND,TRANSFER TO BID,,,,,,0,0,250000,250000,250000,250000,3
UNDEFINED,GENERAL FUND,TRANSFER TO DED-HOUSG,,,,,,,,0,,,,3
UNDEFINED,GENERAL FUND,TRANSFER TO DEBT SERVICE FUND,,,,,,6426807,2431277,1203484,0,172125,0,3
UNDEFINED,GENERAL FUND,EXCESS FUNDS FOR RESERVE,,,,,,0,0,502995,0,0,0,3
UNDEFINED,GENERAL FUND,TRAN TO GEN FLEET,,,,,,,,0,,,0,3
UNDEFINED,GENERAL FUND,TRANSFER TO-CAPITAL PROJECTS F,,,,,,,,0,,72000,0,3
UNDEFINED,GENERAL FUND,TRANSFERS TO PUBLIC IMPROVEMEN,,,,,,,,0,,,1420632,3
UNDEFINED,GENERAL FUND,TRANSFER TO STREET PAVEMENT,,,,,,,,0,,,2000000,3
UNDEFINED,GENERAL FUND,TRANSFER TO WATER & SEWER CONS,,,,,,,,0,,0,0,3
UNDEFINED,GENERAL FUND,TRANSFER TO-STORMWATER FUND,,,,,,,,0,,0,0,3
UNDEFINED,GENERAL FUND,TRANSFER TO-WATER AND SEWER UT,,,,,,0,319595,308942,298288,287635,276982,3
UNDEFINED,GENERAL FUND,TRANSFER TO TRANSIT ADMINISTRA,,,,,,,,0,,,0,3
UNDEFINED,GENERAL FUND,PRIOR PERIOD ADJ,,,,,,,,0,,,807469,3
UNDEFINED,GENERAL FUND  Total,,,,,,,6426807,3072997,2265421,590146,2788935,5342927,2
UNDEFINED,CDBG-2005-2006,CONTRA HOUSING LOANS EXP,,,,,,,,0,,,-100000,3
UNDEFINED,CDBG-2005-2006,PRIOR PERIOD ADJ,,,,,,,,0,,,820822,3
UNDEFINED,HOME-NOTES RECEIVABLE,CONTRA HOUSING LOANS EXP,,,,,,,,0,,,0,3
UNDEFINED,HOME-1998-1999  Total,,,,,,,0,0,0,0,0,0,2
UNDEFINED,HOME-1999-2000,CONTRA HOUSING LOANS EXP,,,,,,,,0,,,57797,3
UNDEFINED,HOME-1999-2000,PRIOR PERIOD ADJ,,,,,,,,0,,,5254463,3
UNDEFINED,HOME-1999-2000  Total,,,,,,,,,0,,,5312260,2
UNDEFINED,JUSTICE ASSISTANCE GRANTS,TRANSFER OUT - OTHER SRF,,,,,,0,0,-6001,0,0,0,3
UNDEFINED,JUSTICE ASSISTANCE GRANTS  Total,,,,,,,0,0,-6001,0,0,0,2
UNDEFINED,CONTROLLED SBSTANCE TAX DISTRI,TRANSFER OUT - OTHER SRF,,,,,,0,0,-2197,0,0,0,3
UNDEFINED,CONTROLLED SBSTANCE TAX DISTRI  Total,,,,,,,0,0,-2197,0,0,0,2
UNDEFINED,FEDERAL ASSET FORFEITURE FUNDS,TRANSFER OUT - OTHER SRF,,,,,,0,0,-86,0,0,0,3
UNDEFINED,FEDERAL ASSET FORFEITURE FUNDS  Total,,,,,,,0,0,-86,0,0,0,2
UNDEFINED,2014 HALLOWEEN GRANT,OVERTIME,,,,,,,,0,,,,3
UNDEFINED,2014 HALLOWEEN GRANT,FICA EXPENSE,,,,,,,,0,,,,3
UNDEFINED,2014 HALLOWEEN GRANT,MEDICARE EXPENSE,,,,,,,,0,,,,3
UNDEFINED,2014 HALLOWEEN GRANT,RETIREMENT CONTRIBUTIONS-LEO,,,,,,,,0,,,,3
UNDEFINED,2014 HALLOWEEN GRANT,SPECIAL LAW ENFORCEMENT 401(K),,,,,,,,0,,,,3
UNDEFINED,2014 HALLOWEEN GRANT  Total,,,,,,,,,0,,,,2
UNDEFINED,EMERGENCY TELEPHONE SYSTEM FUN,TRANSFER TO THE GENERAL FUND,,,,,,0,322143,0,0,0,0,3
UNDEFINED,EMERGENCY TELEPHONE SYSTEM FUN  Total,,,,,,,0,322143,0,0,0,0,2
UNDEFINED,DOWNTOWN REVITALIZATION FUND,TRANSFER TO THE GENERAL FUND,,,,,,1750694,0,0,0,0,0,3
UNDEFINED,DOWNTOWN REVITALIZATION FUND  Total,,,,,,,1750694,0,0,0,0,0,2
UNDEFINED,DOWNTOWN BUSINESS ASSISTANCE F,TRANSFER TO THE GENERAL FUND,,,,,,157753,0,0,0,0,0,3
UNDEFINED,DOWNTOWN BUSINESS ASSISTANCE F  Total,,,,,,,157753,0,0,0,0,0,2
UNDEFINED,CULTURAL MASTER PLAN GRANT FUN,TRANSFER OUT - OTHER SRF,,,,,,0,0,27065,0,0,0,3
UNDEFINED,CULTURAL MASTER PLAN GRANT FUN  Total,,,,,,,0,0,27065,0,0,0,2
UNDEFINED,BUSINESS IMPROVEMENT DISTRICT,SPECIAL CONTRACTUAL SERVICES,,,,,,0,0,3370,2,0,0,3
UNDEFINED,BUSINESS IMPROVEMENT DISTRICT,,,,,,,0,0,3370,3954,19372,20119,2
UNDEFINED,BUSINESS IMPROVEMENT DISTRICT,SPECIAL CONTRACTUAL SERVICES,,,,,,0,0,580500,583192,653503,653503,3
UNDEFINED,BUSINESS IMPROVEMENT DISTRICT  Total,,,,,,,0,0,580500,583192,653503,653503,2
UNDEFINED,PARKS & RECREATION TITLE V GRA,TRANSFER OUT - OTHER SRF,,,,,,0,0,2831,0,0,0,3
UNDEFINED,PARKS & RECREATION TITLE V GRA  Total,,,,,,,0,0,2831,0,0,0,2
UNDEFINED,TRANSPORTATION GRANTS FUND,TRANSFER OUT - OTHER SRF,,,,,,0,0,29524,0,0,0,3
UNDEFINED,TRANSPORTATION GRANTS FUND  Total,,,,,,,0,0,29524,0,0,0,2
UNDEFINED,LEAD BASED PAINT REDUCTION FUN,TRANSFER OUT - OTHER SRF,,,,,,0,0,-43814,0,0,0,3
UNDEFINED,LEAD BASED PAINT REDUCTION FUN  Total,,,,,,,0,0,-43814,0,0,0,2
UNDEFINED,CD-ESCROW ACCOUNT,TRANSFER TO THE GENERAL FUND,,,,,,40396,0,0,0,0,0,3
UNDEFINED,CD-ESCROW ACCOUNT  Total,,,,,,,40396,0,0,0,0,0,2
UNDEFINED,HUMAN RELATIONS GRANT FUNDS,TRANSFER TO THE GENERAL FUND,,,,,,0,0,0,0,0,0,3
UNDEFINED,HUMAN RELATIONS GRANT FUNDS  Total,,,,,,,0,0,0,0,0,0,2
UNDEFINED,MISCELLANEOUS GRANTS FUND,TRANSFER OUT - OTHER SRF,,,,,,0,0,-3165,0,0,0,3
UNDEFINED,MISCELLANEOUS GRANTS FUND  Total,,,,,,,0,0,-3165,0,0,0,2
UNDEFINED,OFFICE ON YOUTH,SPECIALIZED DEPARTMENT SUPPLIE,,,,,,0,0,0,0,0,8,3
UNDEFINED,OFFICE ON YOUTH  Total,,,,,,,0,0,0,0,0,8,2
UNDEFINED,INSPECTION,INDIRECT COSTS,,,,,,,,0,,,0,3
UNDEFINED,INSPECTION,TRANSFER TO-CAPITAL PROJECTS F,,,,,,,,0,,,0,3
