LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,TOOLTIP,SOURCE,SOURCE URL,2011,2012,2013,2014,2015,2016,LEVEL
UNDEFINED,GENERAL FUND,SPECIAL CONTRACTURAL SERVICE,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,DUR CO CIVIL PENALTY,,,,,,-376447,-322100,-218810,-212620,-178042,-175540,3
UNDEFINED,GENERAL FUND,FIRE TAX REFUND,,,,,,0,-4005,-3257,-3152,-4479,-3610,3
UNDEFINED,GENERAL FUND,DUR CO TECH INCENTIVE,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,DUR CO AUDIT FEES,,,,,,-446336,-195366,-239954,-172083,-187867,-203820,3
UNDEFINED,GENERAL FUND,CURRENT YEAR'S LEVY,,,,,,102024175,99353174,94155674,86894404,88397294,83243885,3
UNDEFINED,GENERAL FUND,HOLDING ACCOUNT CURRENT LEVY,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,CLEARING ACCOUNT CURRENT LEVY,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,DELINQUENT LEVIES,,,,,,1317370,1176934,1354586,1164417,646855,637642,3
UNDEFINED,GENERAL FUND,HOLDING ACCOUNT DELINQUENT LEV,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,CLEARING ACCOUNT DELINQUENT LE,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,INTEREST,,,,,,371670,333252,354313,405824,269636,242459,3
UNDEFINED,GENERAL FUND,ORANGE CO - MV T,,,,,,1076,838,754,1138,774,116,3
UNDEFINED,GENERAL FUND,TAX DISCOUNT,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,BID - CURRENT YEAR'S LEVY,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,BID - DELINQUENT LEVIES,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,BID - INTEREST,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,CURRENT LEVY - VEHICLE TAX,,,,,,0,0,0,4164418,6369124,6349735,3
UNDEFINED,GENERAL FUND,INTERTEST -NC VEH,,,,,,0,0,0,76771,139559,127410,3
UNDEFINED,GENERAL FUND,CL-VEH TAX-WAKE COUNTY,,,,,,0,0,0,0,0,2174,3
UNDEFINED,GENERAL FUND,WAKE CO INTEREST VEH TAX,,,,,,0,0,0,0,0,15,3
UNDEFINED,GENERAL FUND,WAKE COUNTY - PROPERTY TAX COL,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,WAKE COUNTY - CURR LEVY,,,,,,0,0,0,0,0,160223,3
UNDEFINED,GENERAL FUND,WAKE CO - DELQ LEVY,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,WAKE COUNTY - INTEREST,,,,,,0,0,0,0,0,117,3
UNDEFINED,GENERAL FUND,COUNTY TAX COLLECTOR WIRES,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,DISTRIBUTED COUNTY TAX COLLECT,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,LOCAL OPTION SALES TAX,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,SALES TAX REFUND 05,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,SALES TAX REFUND 06,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,SALES TAX REFUND 2010,,,,,,-844,0,0,0,0,0,3
UNDEFINED,GENERAL FUND,DURHAM-ARTICLE 40 - 1/2% SALES,,,,,,7589786,7931062,8166553,8657446,9572339,10257380,3
UNDEFINED,GENERAL FUND,DURHAM-ARTICLE 42 - 1/2% SALES,,,,,,9443907,10060924,10024553,10474108,12130779,12709513,3
UNDEFINED,GENERAL FUND,DURHAM-ARTICLE 44 - 1/4% SALES,,,,,,-87236,98373,33066,-5699,651,10031,3
UNDEFINED,GENERAL FUND,DURHAM-ARTICLE 39 - 1% SALES,,,,,,19030682,20348372,20163148,20998615,24304344,25425019,3
UNDEFINED,GENERAL FUND,ORANGE ARTICLE 40 - 1/2% SALES,,,,,,1978,1213,1273,1322,1435,1511,3
UNDEFINED,GENERAL FUND,ORANGE ARTICLE 42 - 1/2% SALES,,,,,,1384,849,922,944,999,1040,3
UNDEFINED,GENERAL FUND,ORANGE ARTICLE 44 - 1/4% SALES,,,,,,3,67,6,4,1,4,3
UNDEFINED,GENERAL FUND,ORANGE ARTICLE 39 - 1% SALES,,,,,,2767,1703,1841,1881,1990,2073,3
UNDEFINED,GENERAL FUND,WAKE ARTICLE 40 - 1/2% SALES,,,,,,0,0,0,0,0,0,3
